STD_YM,BLCK_SP_CD,CTPV_CD,CTPV_NM,CARD_HLDR_CT,AVG_CARD_CNT,AVG_CARD_LMT_AMT,CARD_USE_AMT,CRD_SLE_USE_AMT,LSP_USE_AMT,INSTL_USE_AMT,CASH_SVC_SUE_AMT,OVSEA_CSMP_AMT
202107,1,44,충청남도,1630356,3,9046,2490293337,2345776348,1930440277,415336071,144516989,13242669
202107,1,45,전라북도,1334156,4,9140,1938178055,1821928131,1488194848,333733284,116249924,8754949
202107,1,46,전라남도,1309540,3,8272,1864974582,1752975771,1434462901,318512869,111998812,7196377
202107,1,47,경상북도,1942814,3,8632,2655250120,2480351060,2031600915,448750144,174899061,13419996
202107,1,48,경상남도,2520871,4,9983,3772132106,3502600385,2822223476,680376909,269531721,20169194
202107,1,50,제주특별자치도,508887,4,9465,861272290,805389584,657253967,148135618,55882705,5430789
202108,1,11,서울특별시,8085069,4,12565,14399025188,13511650014,11318380985,2193269029,887375174,231098065
202108,1,26,부산광역시,2640267,4,11668,4029246242,3697850300,2979895446,717954854,331395942,32931026
202108,1,27,대구광역시,1949722,4,11059,2876512415,2670142436,2191456404,478686032,206369979,21104055
202108,1,28,인천광역시,2321751,4,11075,3603284550,3329680368,2705625867,624054501,273604182,33300131
202108,1,29,광주광역시,1150758,4,11142,1920498795,1797411618,1501234609,296177009,123087177,10267554
202108,1,30,대전광역시,1199615,4,11094,1953161300,1827224261,1524852815,302371447,125937039,14464712
202108,1,31,울산광역시,884866,4,11408,1373485054,1268867965,1061189875,207678090,104617089,8352388
202108,1,36,세종특별자치시,259053,5,15152,523030056,497167044,423072381,74094663,25863012,5166622
202108,1,41,경기도,10637696,4,12211,18379513194,17197667625,14293744811,2903922814,1181845569,182566971
202108,1,42,강원도,1139291,3,9551,1693259891,1574183208,1298058681,276124527,119076682,9422871
202108,1,43,충청북도,1237903,3,9319,1817745828,1696436021,1416630376,279805645,121309807,10142606
202108,1,44,충청남도,1630568,3,9113,2411572771,2259809884,1886000546,373809337,151762887,13980910
202108,1,45,전라북도,1335123,4,9201,1916730879,1794627621,1494720076,299907544,122103258,9319827
202108,1,46,전라남도,1309987,3,8329,1795671196,1678202467,1394786580,283415887,117468729,7864356
202108,1,47,경상북도,1943361,3,8690,2550915106,2368723046,1967570758,401152288,182192060,14216065
202108,1,48,경상남도,2521663,4,10050,3663610947,3383895446,2770477136,613418310,279715502,21336264
202108,1,50,제주특별자치도,509057,4,9525,816900929,758512315,624519002,133993313,58388613,6009083
202109,1,11,서울특별시,8096424,4,12665,14748966756,13884603850,11513747630,2370856219,864362907,228356125
202109,1,26,부산광역시,2647599,4,11748,4162438740,3845006856,3119626069,725380786,317431884,33898350
202109,1,27,대구광역시,1954267,4,11128,2969855119,2771842309,2291847400,479994910,198012809,21685338
202109,1,28,인천광역시,2329208,4,11158,3664676597,3402871357,2790294816,612576541,261805240,33093784
202109,1,29,광주광역시,1155634,4,11207,1964400532,1847378609,1552621515,294757093,117021923,10321570
