Seq,Region,Rdate,social_distancing
2206,광주광역시,2021-03-17,1
2207,광주광역시,2021-03-18,1
2208,광주광역시,2021-03-19,1
2209,광주광역시,2021-03-20,1
2210,광주광역시,2021-03-21,1
2211,광주광역시,2021-03-22,1
2212,광주광역시,2021-03-23,1
2213,광주광역시,2021-03-24,1
2214,광주광역시,2021-03-25,1
2215,광주광역시,2021-03-26,1
2216,광주광역시,2021-03-27,1
2217,광주광역시,2021-03-28,1
2218,광주광역시,2021-03-29,1
2219,광주광역시,2021-03-30,1
2220,광주광역시,2021-03-31,1
2221,광주광역시,2021-04-01,1
2222,광주광역시,2021-04-02,1
2223,광주광역시,2021-04-03,1
2224,광주광역시,2021-04-04,1
2225,광주광역시,2021-04-05,1
2226,광주광역시,2021-04-06,1
2227,광주광역시,2021-04-07,1
2228,광주광역시,2021-04-08,1
2229,광주광역시,2021-04-09,1
2230,광주광역시,2021-04-10,1
2231,광주광역시,2021-04-11,1
2232,광주광역시,2021-04-12,1
2233,광주광역시,2021-04-13,1
2234,광주광역시,2021-04-14,1
2235,광주광역시,2021-04-15,1
2236,광주광역시,2021-04-16,1
2237,광주광역시,2021-04-17,1
2238,광주광역시,2021-04-18,1
2239,광주광역시,2021-04-19,1
2240,광주광역시,2021-04-20,1
2241,광주광역시,2021-04-21,1
2242,광주광역시,2021-04-22,1
2243,광주광역시,2021-04-23,1
2244,광주광역시,2021-04-24,1
2245,광주광역시,2021-04-25,1
2246,광주광역시,2021-04-26,1
2247,광주광역시,2021-04-27,1
2248,광주광역시,2021-04-28,1
2249,광주광역시,2021-04-29,1
2250,광주광역시,2021-04-30,1
2251,광주광역시,2021-05-01,1
2252,광주광역시,2021-05-02,1
2253,광주광역시,2021-05-03,1
2254,광주광역시,2021-05-04,1
2255,광주광역시,2021-05-05,1
2256,광주광역시,2021-05-06,1
2257,광주광역시,2021-05-07,1
2258,광주광역시,2021-05-08,1
2259,광주광역시,2021-05-09,1
2260,광주광역시,2021-05-10,1
2261,광주광역시,2021-05-11,1
2262,광주광역시,2021-05-12,1
2263,광주광역시,2021-05-13,1
2264,광주광역시,2021-05-14,1
2265,광주광역시,2021-05-15,1
2266,광주광역시,2021-05-16,1
2267,광주광역시,2021-05-17,1
2268,광주광역시,2021-05-18,1
2269,광주광역시,2021-05-19,1
2270,광주광역시,2021-05-20,1
2271,광주광역시,2021-05-21,1
2272,광주광역시,2021-05-22,1
2273,광주광역시,2021-05-23,1
2274,광주광역시,2021-05-24,1
2275,광주광역시,2021-05-25,1
2276,광주광역시,2021-05-26,1
2277,광주광역시,2021-05-27,1
2278,광주광역시,2021-05-28,1
2279,광주광역시,2021-05-29,1
2280,광주광역시,2021-05-30,1
2281,광주광역시,2021-05-31,1
2282,광주광역시,2021-06-01,1
2283,광주광역시,2021-06-02,1
2284,광주광역시,2021-06-03,1
2285,광주광역시,2021-06-04,1
2286,광주광역시,2021-06-05,1
2287,광주광역시,2021-06-06,1
2288,광주광역시,2021-06-07,1
2289,광주광역시,2021-06-08,1
2290,광주광역시,2021-06-09,1
2291,광주광역시,2021-06-10,1
2292,광주광역시,2021-06-11,1
2293,광주광역시,2021-06-12,1
2294,광주광역시,2021-06-13,1
2295,광주광역시,2021-06-14,1
2296,대전광역시,2020-02-23,2
2297,대전광역시,2020-02-24,2
2298,대전광역시,2020-02-25,2
2299,대전광역시,2020-02-26,2
2300,대전광역시,2020-02-27,2
2301,대전광역시,2020-02-28,2
2302,대전광역시,2020-02-29,2
2303,대전광역시,2020-03-01,2
2304,대전광역시,2020-03-02,2
2305,대전광역시,2020-03-03,2
2306,대전광역시,2020-03-04,2
2307,대전광역시,2020-03-05,2
2308,대전광역시,2020-03-06,2
2309,대전광역시,2020-03-07,2
2310,대전광역시,2020-03-08,2
2311,대전광역시,2020-03-09,2
2312,대전광역시,2020-03-10,2
2313,대전광역시,2020-03-11,2
2314,대전광역시,2020-03-12,2
2315,대전광역시,2020-03-13,2
2316,대전광역시,2020-03-14,2
2317,대전광역시,2020-03-15,2
2318,대전광역시,2020-03-16,2
2319,대전광역시,2020-03-17,2
2320,대전광역시,2020-03-18,2
2321,대전광역시,2020-03-19,2
2322,대전광역시,2020-03-20,2
2323,대전광역시,2020-03-21,2
2324,대전광역시,2020-03-22,3
2325,대전광역시,2020-03-23,3
2326,대전광역시,2020-03-24,3
2327,대전광역시,2020-03-25,3
2328,대전광역시,2020-03-26,3
2329,대전광역시,2020-03-27,3
2330,대전광역시,2020-03-28,3
2331,대전광역시,2020-03-29,3
2332,대전광역시,2020-03-30,3
2333,대전광역시,2020-03-31,3
2334,대전광역시,2020-04-01,3
2335,대전광역시,2020-04-02,3
2336,대전광역시,2020-04-03,3
2337,대전광역시,2020-04-04,3
2338,대전광역시,2020-04-05,3
2339,대전광역시,2020-04-06,3
2340,대전광역시,2020-04-07,3
2341,대전광역시,2020-04-08,3
2342,대전광역시,2020-04-09,3
2343,대전광역시,2020-04-10,3
2344,대전광역시,2020-04-11,3
2345,대전광역시,2020-04-12,3
2346,대전광역시,2020-04-13,3
2347,대전광역시,2020-04-14,3
2348,대전광역시,2020-04-15,3
2349,대전광역시,2020-04-16,3
2350,대전광역시,2020-04-17,3
2351,대전광역시,2020-04-18,3
2352,대전광역시,2020-04-19,3
2353,대전광역시,2020-04-20,3
2354,대전광역시,2020-04-21,3
2355,대전광역시,2020-04-22,3
2356,대전광역시,2020-04-23,3
2357,대전광역시,2020-04-24,3
2358,대전광역시,2020-04-25,3
2359,대전광역시,2020-04-26,3
2360,대전광역시,2020-04-27,3
2361,대전광역시,2020-04-28,3
2362,대전광역시,2020-04-29,3
2363,대전광역시,2020-04-30,3
2364,대전광역시,2020-05-01,3
2365,대전광역시,2020-05-02,3
2366,대전광역시,2020-05-03,3
2367,대전광역시,2020-05-04,3
2368,대전광역시,2020-05-05,3
2369,대전광역시,2020-05-06,1
2370,대전광역시,2020-05-07,1
2371,대전광역시,2020-05-08,1
2372,대전광역시,2020-05-09,1
2373,대전광역시,2020-05-10,1
2374,대전광역시,2020-05-11,1
2375,대전광역시,2020-05-12,1
2376,대전광역시,2020-05-13,1
2377,대전광역시,2020-05-14,1
2378,대전광역시,2020-05-15,1
2379,대전광역시,2020-05-16,1
2380,대전광역시,2020-05-17,1
2381,대전광역시,2020-05-18,1
2382,대전광역시,2020-05-19,1
2383,대전광역시,2020-05-20,1
2384,대전광역시,2020-05-21,1
2385,대전광역시,2020-05-22,1
2386,대전광역시,2020-05-23,1
2387,대전광역시,2020-05-24,1
2388,대전광역시,2020-05-25,1
2389,대전광역시,2020-05-26,1
2390,대전광역시,2020-05-27,1
2391,대전광역시,2020-05-28,1
2392,대전광역시,2020-05-29,1
2393,대전광역시,2020-05-30,1
2394,대전광역시,2020-05-31,1
2395,대전광역시,2020-06-01,1
2396,대전광역시,2020-06-02,1
2397,대전광역시,2020-06-03,1
2398,대전광역시,2020-06-04,1
2399,대전광역시,2020-06-05,1
2400,대전광역시,2020-06-06,1
2401,대전광역시,2020-06-07,1
2402,대전광역시,2020-06-08,1
2403,대전광역시,2020-06-09,1
2404,대전광역시,2020-06-10,1
2405,대전광역시,2020-06-11,1
2406,대전광역시,2020-06-12,1
2407,대전광역시,2020-06-13,1
2408,대전광역시,2020-06-14,1
2409,대전광역시,2020-06-15,1
2410,대전광역시,2020-06-16,1
2411,대전광역시,2020-06-17,1
2412,대전광역시,2020-06-18,1
2413,대전광역시,2020-06-19,1
2414,대전광역시,2020-06-20,3
2415,대전광역시,2020-06-21,3
2416,대전광역시,2020-06-22,3
2417,대전광역시,2020-06-23,3
2418,대전광역시,2020-06-24,3
2419,대전광역시,2020-06-25,3
2420,대전광역시,2020-06-26,3
2421,대전광역시,2020-06-27,3
2422,대전광역시,2020-06-28,3
2423,대전광역시,2020-06-29,3
2424,대전광역시,2020-06-30,3
2425,대전광역시,2020-07-01,3
2426,대전광역시,2020-07-02,3
2427,대전광역시,2020-07-03,3
2428,대전광역시,2020-07-04,3
2429,대전광역시,2020-07-05,3
2430,대전광역시,2020-07-06,3
2431,대전광역시,2020-07-07,3
2432,대전광역시,2020-07-08,3
2433,대전광역시,2020-07-09,3
2434,대전광역시,2020-07-10,3
2435,대전광역시,2020-07-11,3
2436,대전광역시,2020-07-12,3
2437,대전광역시,2020-07-13,3
2438,대전광역시,2020-07-14,3
2439,대전광역시,2020-07-15,3
2440,대전광역시,2020-07-16,3
2441,대전광역시,2020-07-17,3
2442,대전광역시,2020-07-18,3
2443,대전광역시,2020-07-19,3
2444,대전광역시,2020-07-20,3
2445,대전광역시,2020-07-21,3
2446,대전광역시,2020-07-22,3
2447,대전광역시,2020-07-23,3
2448,대전광역시,2020-07-24,3
2449,대전광역시,2020-07-25,3
2450,대전광역시,2020-07-26,3
2451,대전광역시,2020-07-27,1
2452,대전광역시,2020-07-28,1
2453,대전광역시,2020-07-29,1
2454,대전광역시,2020-07-30,1
2455,대전광역시,2020-07-31,1
2456,대전광역시,2020-08-01,1
2457,대전광역시,2020-08-02,1
2458,대전광역시,2020-08-03,1
2459,대전광역시,2020-08-04,1
2460,대전광역시,2020-08-05,1
2461,대전광역시,2020-08-06,1
2462,대전광역시,2020-08-07,1
2463,대전광역시,2020-08-08,1
2464,대전광역시,2020-08-09,1
2465,대전광역시,2020-08-10,1
2466,대전광역시,2020-08-11,1
2467,대전광역시,2020-08-12,1
2468,대전광역시,2020-08-13,1
2469,대전광역시,2020-08-14,1
2470,대전광역시,2020-08-15,1
2471,대전광역시,2020-08-16,1
2472,대전광역시,2020-08-17,1
2473,대전광역시,2020-08-18,1
2474,대전광역시,2020-08-19,1
2475,대전광역시,2020-08-20,1
2476,대전광역시,2020-08-21,1
2477,대전광역시,2020-08-22,1
2478,대전광역시,2020-08-23,2
2479,대전광역시,2020-08-24,2
2480,대전광역시,2020-08-25,2
2481,대전광역시,2020-08-26,2
2482,대전광역시,2020-08-27,2
2483,대전광역시,2020-08-28,2
2484,대전광역시,2020-08-29,2
2485,대전광역시,2020-08-30,2
2486,대전광역시,2020-08-31,2
2487,대전광역시,2020-09-01,2
2488,대전광역시,2020-09-02,2
2489,대전광역시,2020-09-03,2
2490,대전광역시,2020-09-04,2
2491,대전광역시,2020-09-05,2
2492,대전광역시,2020-09-06,2
2493,대전광역시,2020-09-07,2
2494,대전광역시,2020-09-08,2
2495,대전광역시,2020-09-09,2
2496,대전광역시,2020-09-10,2
2497,대전광역시,2020-09-11,2
2498,대전광역시,2020-09-12,2
2499,대전광역시,2020-09-13,2
2500,대전광역시,2020-09-14,2
2501,대전광역시,2020-09-15,2
2502,대전광역시,2020-09-16,2
2503,대전광역시,2020-09-17,2
2504,대전광역시,2020-09-18,2
2505,대전광역시,2020-09-19,2
2506,대전광역시,2020-09-20,2
2507,대전광역시,2020-09-21,2
2508,대전광역시,2020-09-22,2
2509,대전광역시,2020-09-23,2
2510,대전광역시,2020-09-24,2
2511,대전광역시,2020-09-25,2
2512,대전광역시,2020-09-26,2
2513,대전광역시,2020-09-27,2
2514,대전광역시,2020-09-28,3
2515,대전광역시,2020-09-29,3
2516,대전광역시,2020-09-30,3
2517,대전광역시,2020-10-01,3
2518,대전광역시,2020-10-02,3
2519,대전광역시,2020-10-03,3
2520,대전광역시,2020-10-04,3
2521,대전광역시,2020-10-05,3
2522,대전광역시,2020-10-06,3
2523,대전광역시,2020-10-07,3
2524,대전광역시,2020-10-08,3
2525,대전광역시,2020-10-09,3
2526,대전광역시,2020-10-10,3
2527,대전광역시,2020-10-11,3
2528,대전광역시,2020-10-12,1
2529,대전광역시,2020-10-13,1
2530,대전광역시,2020-10-14,1
2531,대전광역시,2020-10-15,1
2532,대전광역시,2020-10-16,1
2533,대전광역시,2020-10-17,1
2534,대전광역시,2020-10-18,1
2535,대전광역시,2020-10-19,1
2536,대전광역시,2020-10-20,1
2537,대전광역시,2020-10-21,1
2538,대전광역시,2020-10-22,1
2539,대전광역시,2020-10-23,1
2540,대전광역시,2020-10-24,1
2541,대전광역시,2020-10-25,1
2542,대전광역시,2020-10-26,1
2543,대전광역시,2020-10-27,1
2544,대전광역시,2020-10-28,1
2545,대전광역시,2020-10-29,1
2546,대전광역시,2020-10-30,1
2547,대전광역시,2020-10-31,1
2548,대전광역시,2020-11-01,1
2549,대전광역시,2020-11-02,1
2550,대전광역시,2020-11-03,1
2551,대전광역시,2020-11-04,1
2552,대전광역시,2020-11-05,1
2553,대전광역시,2020-11-06,1
2554,대전광역시,2020-11-07,1
2555,대전광역시,2020-11-08,1
2556,대전광역시,2020-11-09,1
2557,대전광역시,2020-11-10,1
2558,대전광역시,2020-11-11,1
2559,대전광역시,2020-11-12,1
2560,대전광역시,2020-11-13,1
2561,대전광역시,2020-11-14,1
2562,대전광역시,2020-11-15,1
2563,대전광역시,2020-11-16,1
2564,대전광역시,2020-11-17,1
2565,대전광역시,2020-11-18,1
2566,대전광역시,2020-11-19,1
2567,대전광역시,2020-11-20,1
2568,대전광역시,2020-11-21,1
2569,대전광역시,2020-11-22,1
2570,대전광역시,2020-11-23,1
2571,대전광역시,2020-11-24,1
2572,대전광역시,2020-11-25,1
2573,대전광역시,2020-11-26,1
2574,대전광역시,2020-11-27,1
2575,대전광역시,2020-11-28,1
2576,대전광역시,2020-11-29,1
2577,대전광역시,2020-11-30,1
2578,대전광역시,2020-12-01,1
2579,대전광역시,2020-12-02,1
2580,대전광역시,2020-12-03,1
2581,대전광역시,2020-12-04,1
2582,대전광역시,2020-12-05,1
2583,대전광역시,2020-12-06,1
2584,대전광역시,2020-12-07,1
2585,대전광역시,2020-12-08,2
2586,대전광역시,2020-12-09,2
2587,대전광역시,2020-12-10,2
2588,대전광역시,2020-12-11,2
2589,대전광역시,2020-12-12,2
2590,대전광역시,2020-12-13,2
2591,대전광역시,2020-12-14,2
2592,대전광역시,2020-12-15,2
2593,대전광역시,2020-12-16,2
2594,대전광역시,2020-12-17,2
2595,대전광역시,2020-12-18,2
2596,대전광역시,2020-12-19,2
2597,대전광역시,2020-12-20,2
2598,대전광역시,2020-12-21,2
2599,대전광역시,2020-12-22,2
2600,대전광역시,2020-12-23,2
2601,대전광역시,2020-12-24,2
2602,대전광역시,2020-12-25,2
2603,대전광역시,2020-12-26,2
2604,대전광역시,2020-12-27,2
2605,대전광역시,2020-12-28,2
2606,대전광역시,2020-12-29,2
2607,대전광역시,2020-12-30,2
2608,대전광역시,2020-12-31,2
2609,대전광역시,2021-01-01,2
2610,대전광역시,2021-01-02,2
2611,대전광역시,2021-01-03,2
2612,대전광역시,2021-01-04,2
2613,대전광역시,2021-01-05,2
