tDate,NewSum,NewInflowChina,NewInflowAsia,NewInflowEU,NewInflowAmerica,NewInflowAfrica,NewInflowOS,NewConfirmQuarantine,NewConfirmSocial,NewNationalityLocal,NewNationalityForeigner,AccSum,AccInflowChina,AccInflowAsia,AccInflowEU,AccInflowAmerica,AccInflowAfrica,AccInflowOS,AccConfirmQuarantine,AccConfirmSocial,AccNationalityLocal,AccNationalityForeigner
2021-04-03,22,0,12,5,4,1,0,9,13,11,11,7650,42,3430,1329,2445,381,23,3180,4470,4095,3555
2021-04-04,29,0,19,1,4,5,0,10,19,13,16,7679,42,3449,1330,2449,386,23,3190,4489,4108,3571
2021-04-05,24,0,10,3,9,2,0,10,14,12,12,7703,42,3459,1333,2458,388,23,3200,4503,4120,3583
2021-04-06,18,1,6,4,6,1,0,5,13,3,15,7721,43,3465,1337,2464,389,23,3205,4516,4123,3598
2021-04-07,15,0,7,7,1,0,0,4,11,10,5,7736,43,3472,1344,2465,389,23,3209,4527,4133,3603
2021-04-08,26,1,14,9,2,0,0,7,19,15,11,7762,44,3486,1353,2467,389,23,3216,4546,4148,3614
2021-04-09,27,0,19,2,4,1,1,7,20,12,15,7789,44,3505,1355,2471,390,24,3223,4566,4160,3629
2021-04-10,15,0,10,1,4,0,0,4,11,10,5,7804,44,3515,1356,2475,390,24,3227,4577,4170,3634
2021-04-11,20,0,13,2,2,3,0,8,12,13,7,7824,44,3528,1358,2477,393,24,3235,4589,4183,3641
2021-04-12,27,0,14,11,0,2,0,8,19,14,13,7851,44,3542,1369,2477,395,24,3243,4608,4197,3654
2021-04-13,14,0,7,3,3,1,0,5,9,7,7,7865,44,3549,1372,2480,396,24,3248,4617,4204,3661
2021-04-14,17,0,13,1,2,1,0,12,5,4,13,7882,44,3562,1373,2482,397,24,3260,4622,4208,3674
2021-04-15,28,0,19,4,3,2,0,15,13,8,20,7910,44,3581,1377,2485,399,24,3275,4635,4216,3694
2021-04-16,21,0,11,4,3,3,0,11,10,7,14,7931,44,3592,1381,2488,402,24,3286,4645,4223,3708
2021-04-17,28,0,22,4,1,1,0,7,21,11,17,7959,44,3615,1385,2489,402,24,3293,4666,4235,3724
2021-04-18,23,1,15,2,3,2,0,9,14,10,13,7982,45,3630,1387,2492,404,24,3302,4680,4245,3737
2021-04-19,20,0,11,7,2,0,0,8,12,13,7,8002,45,3641,1394,2494,404,24,3310,4692,4258,3744
