tDate,T_YDTotal,[T_NewInoc,[T_TotalInoc,[1_YDTotal,[1_NewInoc,[1_TotalInoc,[1_Rate,[1_12y_Rate,[1_18y_Rate,[1_60y_Rate,[2_YDTotal,[2_NewInoc,[2_TotalInoc,[2_Rate,[2_12y_Rate,[2_18y_Rate,[2_60y_Rate,[3_YDTotal,[3_NewInoc,[3_TotalInoc,[3_Rate,[3_12y_Rate,[3_18y_Rate,[3_60y_Rate,[4_YDTotal,[4_YDTotal_60y,[4_NewInoc,[4_NewInoc_60y,[4_TotalInoc,[4_TotalInoc_60y,[4_Rate,[4_12y_Rate,[4_18y_Rate,[4_60y_Rate
2021-07-24,0,0,0,16723806,140562,16864368,32.8,0,0,0,6797840,49716,6847556,13.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-25,0,0,0,16864512,27041,16891553,32.9,0,0,0,6847646,10942,6858588,13.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-26,0,0,0,16891632,1492,16893124,32.9,0,0,0,6858599,57,6858656,13.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-27,0,0,0,16899171,617251,17516422,34.1,0,0,0,6859173,58218,6917391,13.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-28,0,0,0,17522182,380756,17902938,34.9,0,0,0,6928090,44580,6972670,13.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-29,0,0,0,17904284,477853,18382137,35.8,0,0,0,6978568,40086,7018654,13.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-30,0,0,0,18383467,346234,18729701,36.5,0,0,0,7022439,39069,7061508,13.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-31,0,0,0,18732968,495353,19228321,37.4,0,0,0,7072638,58566,7131204,13.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-01,0,0,0,19229837,214283,19444120,37.9,0,0,0,7132582,13340,7145922,13.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-02,0,0,0,19444484,27892,19472376,37.9,0,0,0,7145929,480,7146409,13.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-03,0,0,0,19473657,473850,19947507,38.8,0,0,0,7146602,35955,7182557,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-04,0,0,0,19950651,218941,20169592,39.3,0,0,0,7183130,106529,7289659,14.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-05,0,0,0,20171328,164924,20336252,39.6,0,0,0,7290594,109665,7400259,14.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-06,0,0,0,20338088,191478,20529566,40,0,0,0,7400600,126304,7526904,14.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-07,0,0,0,20531820,254372,20786192,40.5,0,0,0,7527413,155251,7682664,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-08,0,0,0,20787841,120403,20908244,40.7,0,0,0,7683043,35760,7718803,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-09,0,0,0,20908482,27507,20935989,40.8,0,0,0,7718812,2234,7721046,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-10,0,0,0,20937426,433768,21371194,41.6,0,0,0,7721217,173134,7894351,15.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-11,0,0,0,21373726,261380,21635106,42.1,0,0,0,7894715,168265,8062980,15.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-12,0,0,0,21637408,175763,21813171,42.5,0,0,0,8063800,162616,8226416,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-13,0,0,0,21815395,166325,21981720,42.8,0,0,0,8227001,705064,8932065,17.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-14,0,0,0,21984870,241514,22226384,43.3,0,0,0,8933507,619155,9552662,18.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-15,0,0,0,22227969,140972,22368941,43.6,0,0,0,9553668,182004,9735672,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-16,0,0,0,22369252,17721,22386973,43.6,0,0,0,9735696,5559,9741255,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-17,0,0,0,22388519,661839,23050358,44.9,0,0,0,9741561,255278,9996839,19.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-18,0,0,0,23061628,718883,23780511,46.3,0,0,0,9998194,493672,10491866,20.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-19,0,0,0,23787137,518990,24306127,47.3,0,0,0,10493895,318432,10812327,21.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-20,0,0,0,24311354,501043,24812397,48.3,0,0,0,10813795,292232,11106027,21.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-21,0,0,0,24816715,685275,25501990,49.7,0,0,0,11107393,331700,11439093,22.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-22,0,0,0,25507460,359510,25866970,50.4,0,0,0,11439724,122794,11562518,22.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-23,0,0,0,25871413,39272,25910685,50.5,0,0,0,11562880,2241,11565121,22.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-24,0,0,0,25918514,381675,26300189,51.2,0,0,0,11568954,714780,12283734,23.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-25,0,0,0,26304537,397167,26701704,52,0,0,0,12285768,598454,12884222,25.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-26,0,0,0,26706143,370493,27076636,52.7,0,0,0,12885784,472455,13358239,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-27,0,0,0,27081089,646550,27727639,54,0,0,0,13360105,420821,13780926,26.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-28,0,0,0,27746442,598603,28345045,55.2,0,0,0,13797724,549112,14346836,27.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-29,0,0,0,28349072,273234,28622306,55.7,0,0,0,14347973,254978,14602951,28.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-30,0,0,0,28624959,16120,28641079,55.8,0,0,0,14603229,15842,14619071,28.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-31,0,0,0,28642467,388675,29031142,56.5,0,65.7,0,14620085,598553,15218638,29.6,0,34.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-01,0,0,0,29032306,246806,29279112,57,0,66.3,0,15220020,529356,15749376,30.7,0,35.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-02,0,0,0,29280198,177818,29458016,57.4,0,66.7,0,15750196,533164,16283360,31.7,0,36.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-03,0,0,0,29458890,185574,29644464,57.7,0,67.1,0,16284908,498924,16783832,32.7,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-04,0,0,0,29645299,232236,29877535,58.2,0,67.7,0,16784837,698141,17482977,34,0,39.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-05,0,0,0,29878472,118347,29996819,58.4,0,67.9,0,17483510,260139,17743649,34.6,0,40.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-06,0,0,0,29997154,8305,30005459,58.4,0,67.9,0,17743836,7984,17751820,34.6,0,40.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-07,0,0,0,30006162,741052,30747214,59.9,0,69.6,0,17752950,632986,18385936,35.8,0,41.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-08,0,0,0,30749873,573321,31323194,61,0,70.9,0,18387528,420018,18807546,36.6,0,42.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-09,0,0,0,31324819,384948,31709767,61.8,0,71.8,0,18808822,306200,19115022,37.2,0,43.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-10,0,0,0,31710830,438346,32149176,62.6,0,72.8,0,19115907,290902,19406809,37.8,0,43.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-11,0,0,0,32150887,650079,32800966,63.9,0,74.3,0,19407759,415720,19823479,38.6,0,44.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-12,0,0,0,32803577,326756,33130333,64.5,0,75,0,19824771,211405,20036176,39,0,45.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-13,0,0,0,33131077,21645,33152722,64.6,0,75.1,0,20036435,25443,20061878,39.1,0,45.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-14,0,0,0,33154081,825438,33979519,66.2,0,76.9,0,20063402,422119,20485521,39.9,0,46.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-15,0,0,0,33982204,599970,34582174,67.3,0,78.3,0,20486393,223890,20710283,40.3,0,46.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-16,0,0,0,34602817,374256,34977073,68.1,0,79.2,0,20729117,438976,21168093,41.2,0,47.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-17,0,0,0,34986293,428223,35414516,69,0,80.2,0,21176113,312896,21489009,41.8,0,48.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-18,0,0,0,35416905,658121,36075026,70.3,0,81.7,0,21490030,442993,21933023,42.7,0,49.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-19,0,0,0,36077432,389587,36467019,71,0,82.6,0,21934303,189093,22123396,43.1,0,50.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-20,0,0,0,36484737,20384,36505121,71.1,0,82.7,0,22144971,24827,22169798,43.2,0,50.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-21,0,0,0,36506146,21683,36527829,71.1,0,82.7,0,22170928,9572,22180500,43.2,0,50.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-22,0,0,0,36536084,6525,36542609,71.2,0,82.8,0,22184710,4130,22188840,43.2,0,50.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-23,0,0,0,36542705,27400,36570105,71.2,0,82.8,0,22188950,15791,22204741,43.2,0,50.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-24,0,0,0,36572002,560186,37132188,72.3,0,84.1,0,22206411,375869,22582280,44,0,51.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-25,0,0,0,37135238,614616,37749854,73.5,0,85.5,0,22584312,413458,22997770,44.8,0,52.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-26,0,0,0,37752508,312348,38064856,74.1,0,86.2,0,22998962,214852,23213814,45.2,0,52.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-27,0,0,0,38065561,26392,38091953,74.2,0,86.3,0,23214113,23804,23237917,45.3,0,52.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-28,0,0,0,38094666,416626,38511292,75,0,87.2,0,23239931,711698,23951629,46.6,0,54.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-29,0,0,0,38512884,256982,38769866,75.5,0,87.8,0,23953203,689322,24642525,48,0,55.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-30,0,0,0,38771229,231198,39002427,76,0,88.3,0,24644127,526133,25170260,49,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-01,0,0,0,39003821,343752,39347573,76.6,0,89.1,0,25171866,541143,25713009,50.1,0,58.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-02,0,0,0,39348997,236268,39585265,77.1,0,89.6,0,25714715,859970,26574685,51.8,0,60.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-03,0,0,0,39585966,124504,39710470,77.3,0,89.9,0,26576280,406444,26982724,52.5,0,61.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-04,0,0,0,39710596,3404,39714000,77.3,0,89.9,0,26983001,33187,27016188,52.6,0,61.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-05,0,0,0,39714150,25355,39739505,77.4,0,90,0,27016649,209328,27225977,53,0,61.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-06,0,0,0,39740778,44879,39785657,77.5,0,90.1,0,27228258,765885,27994143,54.5,0,63.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-07,0,0,0,39787211,36770,39823981,77.6,0,90.2,0,27996194,510161,28506355,55.5,0,64.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-08,0,0,0,39826227,36187,39862414,77.6,0,90.3,0,28510014,710173,29220187,56.9,0,66.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-09,0,0,0,39865342,43782,39909124,77.7,0,90.4,0,29224027,1098170,30322197,59.1,0,68.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-10,0,0,0,39910153,10766,39920919,77.7,0,90.4,0,30322973,103426,30426399,59.3,0,68.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-11,0,0,0,39921024,2723,39923747,77.7,0,90.4,0,30426651,18049,30444700,59.3,0,68.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-12,0,0,0,39923916,90817,40014733,77.9,0,90.6,0,30445566,160482,30606048,59.6,0,69.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-13,0,0,0,40020307,104897,40125204,78.1,0,90.9,0,30614670,594230,31208900,60.8,0,70.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-14,0,0,0,40129084,56619,40185703,78.3,0,91,0,31218008,407096,31625104,61.6,0,71.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-15,0,0,0,40188671,53758,40242429,78.4,0,91.1,0,31631228,452660,32083888,62.5,0,72.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-16,0,0,0,40245160,87867,40333027,78.5,0,91.3,0,32091462,718818,32810280,63.9,0,74.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-17,0,0,0,40334523,63954,40398477,78.7,0,91.5,0,32812317,353781,33166098,64.6,0,75.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-18,0,0,0,40398773,1489,40400262,78.7,0,91.5,0,33166732,18883,33185615,64.6,0,75.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-19,0,0,0,40402877,71635,40474512,78.8,0,91.6,0,33189677,628733,33818410,65.9,0,76.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-20,0,0,0,40476314,36777,40513091,78.9,0,91.6,0,33821739,443345,34265084,66.7,0,77.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-21,0,0,0,40515521,68492,40584013,79,0,91.7,0,34271438,321965,34593403,67.4,0,78.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-22,0,0,0,40586309,58594,40644903,79.2,0,91.7,0,34597983,405795,35003778,68.2,0,79.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-23,0,0,0,40647284,62946,40710230,79.3,0,91.8,0,35009036,621014,35630050,69.4,0,80.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
