tDate,Country,Number,HolidayName
2023-12-25,Estonia,1,Christmas Day
2023-12-25,Finland,1,Christmas Day
2023-12-25,France,1,Christmas Day
2023-12-25,Germany,1,Christmas Day
2023-12-25,Greece,1,Christmas Day
2023-12-25,Hungary,1,Christmas Day
2023-12-25,Iceland,1,Christmas Day
2023-12-25,Ireland,1,Christmas Day
2023-12-25,Italy,1,Christmas Day
2023-12-25,Latvia,1,Christmas Day
2023-12-25,Lithuania,1,Christmas Day
2023-12-25,Luxembourg,1,Christmas Day
2023-12-25,Mexico,1,Christmas Day
2023-12-25,Netherlands,1,Christmas Day
2023-12-25,New Zealand,1,Christmas Day
2023-12-25,Norway,1,Christmas Day
2023-12-25,Poland,1,Christmas Day
2023-12-25,Portugal,1,Christmas Day
2023-12-25,Slovakia,1,Christmas Day
2023-12-25,Slovenia,1,Christmas Day
2023-12-25,South Korea,1,Christmas Day
2023-12-25,Spain,1,Christmas Day
2023-12-25,Sweden,1,Christmas Day
2023-12-25,United Kingdom,1,Christmas Day
2023-12-25,United States,1,Christmas Day
2023-12-24,Czechia,1,Christmas Eve
2023-12-24,Estonia,1,Christmas Eve
2023-12-24,Finland,1,Christmas Eve
2023-12-24,Iceland,1,Christmas Eve (from noon)
2023-12-24,Latvia,1,Christmas Eve
2023-12-24,Lithuania,1,Christmas Eve
2023-12-24,Slovakia,1,Christmas Eve
2023-12-08,Austria,1,Immaculate Conception
2023-12-08,Chile,1,Inmaculate Conception Day
2023-12-08,Colombia,1,Feast of the Immaculate Conception
2023-12-08,Italy,1,Feast of the Immaculate Conception
2023-12-08,Portugal,1,Feast of the Immaculate Conception
2023-12-08,Spain,1,Immaculate Conception
2023-12-06,Finland,1,Independence Day
2023-12-01,Costa Rica,1,Day of Abolition of the Army
2023-12-01,Portugal,1,Restoration of Independence
2023-11-23,United States,1,Thanksgiving Day
2023-11-20,Latvia,1,Republic of Latvia Proclamation Day observed
2023-11-20,Mexico,1,Revolution Day Memorial
2023-11-18,Latvia,1,Republic of Latvia Proclamation Day
2023-11-17,Czechia,1,Struggle for Freedom and Democracy Day
2023-11-17,Slovakia,1,Fight for Freedom and Democracy Day
2023-11-13,Colombia,1,Day off for Independence of Cartagena
2023-11-11,Belgium,1,Armistice Day
2023-11-11,Canada,1,Remembrance Day
2023-11-11,Colombia,1,Independence of Cartagena
2023-11-11,France,1,Armistice Day
2023-11-11,Poland,1,Independence Day
2023-11-11,United States,1,Veterans Day
2023-11-10,United States,1,Veterans Day observed
