tDate,YesterdaySum,YesterdayPositivityConfirmed,YesterdayPositivityQuarantineRelease,YesterdayPositivityInQuarantine,YesterdayPositivityDead,YesterdayInspection,YesterdayNegative,TodaySum,TodayPositivityConfirmed,TodayPositivityQuarantineRelease,TodayPositivityInQuarantine,TodayPositivityDead,TodayInspection,TodayNegative,VarianceSum,VariancePositivityConfirmed,VariancePositivityQuarantineRelease,VariancePositivityInQuarantine,VariancePositivityDead,VarianceInspection,VarianceNegative
2021-05-13,9201539,128918,119373,7661,1884,84279,8988342,9241153,129633,119906,7836,1891,87517,9024003,39614,715,533,175,7,3238,35661
2021-05-14,9241153,129633,119906,7836,1891,87517,9024003,9281291,130380,120395,8092,1893,95208,9055703,40138,747,489,256,2,7691,31700
2021-05-15,9281291,130380,120395,8092,1893,95208,9055703,9319094,131061,121282,7883,1896,99216,9088817,37803,681,887,-209,3,4008,33114
2021-05-16,9319094,131061,121282,7883,1896,99216,9088817,9336614,131671,121764,8007,1900,101663,9103280,17520,610,482,124,4,2447,14463
2021-05-17,9336614,131671,121764,8007,1900,101663,9103280,9353300,132290,122163,8224,1903,101804,9119206,16686,619,399,217,3,141,15926
2021-05-18,9353300,132290,122163,8224,1903,101804,9119206,9395004,132818,122631,8283,1904,103413,9158773,41704,528,468,59,1,1609,39567
2021-05-19,9395004,132817,122631,8282,1904,103413,9158774,9428644,133471,123237,8322,1912,104494,9190679,33640,654,606,40,8,1081,31905
2021-05-20,9428644,133471,123237,8322,1912,104494,9190679,9447358,134117,123659,8542,1916,108873,9204368,18714,646,422,220,4,4379,13689
2021-05-21,9447358,134117,123659,8542,1916,108873,9204368,9487108,134678,124158,8598,1922,114144,9238286,39750,561,499,56,6,5271,33918
2021-05-22,9487108,134678,124158,8598,1922,114144,9238286,9520966,135344,125032,8386,1926,117558,9268064,33858,666,874,-212,4,3414,29778
2021-05-23,9520966,135344,125032,8386,1926,117558,9268064,9536299,135929,125881,8117,1931,122235,9278135,15333,585,849,-269,5,4677,10071
2021-05-24,9536299,135929,125881,8117,1931,122235,9278135,9553613,136467,126427,8106,1934,120704,9296442,17314,538,546,-11,3,-1531,18307
2021-05-25,9553613,136467,126427,8106,1934,120704,9296442,9592727,136983,126993,8052,1938,117098,9338646,39114,516,566,-54,4,-3606,42204
2021-05-26,9592727,136975,126993,8044,1938,117098,9338654,9629458,137682,127582,8160,1940,121069,9370707,36731,707,589,116,2,3971,32053
2021-05-27,9629458,137682,127574,8160,1940,121069,9370707,9665693,138311,128180,8188,1943,122659,9404723,36235,629,606,28,3,1590,34016
2021-05-28,9665693,138311,128180,8188,1943,122659,9404723,9702456,138898,128761,8191,1946,122872,9440686,36763,587,581,3,3,213,35963
2021-05-29,9702456,138898,128759,8193,1946,122872,9440686,9733591,139431,129739,7741,1951,123790,9470370,31135,533,980,-452,5,918,29684
2021-05-30,9733590,139430,129739,7740,1951,123790,9470370,9747614,139910,130381,7572,1957,126493,9481211,14024,480,642,-168,6,2703,10841
2021-05-31,9747614,139910,130381,7572,1957,126493,9481211,9761158,140340,130823,7558,1959,127953,9492865,13544,430,442,-14,2,1460,11654
2021-06-01,9761158,140340,130823,7558,1959,127953,9492865,9798402,140799,131463,7373,1963,127612,9529991,37244,459,640,-185,4,-341,37126
2021-06-02,9798402,140799,131463,7373,1963,127612,9529991,9834350,141476,132068,7443,1965,128917,9563957,35948,677,605,70,2,1305,33966
2021-06-03,9834350,141476,132068,7443,1965,128917,9563957,9872324,142157,132699,7490,1968,129822,9600345,37974,681,631,47,3,905,36388
